                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68462,                0.76251,                0.54848,                0.90104,                0.88494,                0.87549,                 0.9413,                0.77352,                0.89373,                0.86381,                0.92231,                0.45507,                 0.6489,                0.82611,                0.69429,                0.90248,               0.003268,               0.003268,               0.003268
                      2,                0.75587,                0.79308,                0.59181,                0.92435,                0.88449,                0.89494,                0.93697,                0.73656,                0.88301,                0.88106,                0.93035,                0.43497,                0.71037,                0.89612,                 0.7163,                0.91153,               0.006536,               0.006536,               0.006536
                      3,                 0.7918,                0.80362,                0.61181,                0.92635,                0.85501,                0.79767,                0.90194,                0.67705,                0.86335,                0.80545,                0.91576,                0.50822,                0.79852,                0.64258,                 1.0052,                0.94517,              0.0097379,              0.0097379,              0.0097379
                      4,                0.79626,                0.81221,                 0.6089,                0.93696,                0.91386,                0.86684,                0.94731,                0.75947,                 0.9119,                0.85992,                0.94503,                0.54856,                0.71679,                0.67662,                0.81139,                0.91859,               0.009703,               0.009703,               0.009703
                      5,                0.74726,                0.80085,                0.57746,                0.92422,                0.84756,                0.88699,                0.93576,                0.78346,                0.84834,                0.88327,                0.93349,                0.54172,                0.62117,                0.61299,                0.70533,                0.87678,               0.009703,               0.009703,               0.009703
                      6,                0.73654,                  0.772,                0.55847,                0.91384,                0.92872,                0.91262,                0.95655,                0.78954,                0.92476,                0.90873,                0.94401,                 0.4635,                0.63486,                0.78889,                0.55858,                0.86979,               0.009604,               0.009604,               0.009604
                      7,                 0.7438,                0.77373,                0.55153,                0.91523,                0.93244,                0.96664,                0.96476,                0.81437,                0.93557,                0.96109,                0.96732,                0.53671,                0.59604,                0.67293,                0.49263,                0.85756,               0.009505,               0.009505,               0.009505
                      8,                0.71297,                0.78692,                0.54635,                0.90656,                0.95049,                0.95331,                0.97082,                0.82858,                0.97912,                 0.9125,                0.96463,                0.52321,                0.58277,                0.66192,                0.46106,                0.85849,               0.009406,               0.009406,               0.009406
                      9,                 0.6976,                0.75266,                0.52247,                0.89756,                0.96149,                0.96498,                0.98118,                0.82981,                0.95656,                 0.9425,                0.97825,                0.56902,                0.59766,                0.59305,                 0.4381,                0.85336,               0.009307,               0.009307,               0.009307
                     10,                0.70919,                0.75056,                0.51744,                0.90041,                0.94902,                0.94163,                0.97735,                0.83211,                  0.936,                0.92218,                0.97119,                0.57164,                0.59064,                0.57813,                0.45206,                0.84872,               0.009208,               0.009208,               0.009208
                     11,                0.68792,                0.77087,                0.51165,                 0.8963,                0.94937,                0.93774,                0.97634,                0.84008,                0.94855,                0.93258,                0.97472,                0.58319,                0.55739,                0.58855,                0.45861,                0.84525,               0.009109,               0.009109,               0.009109
                     12,                 0.6745,                0.76547,                0.50563,                0.89298,                0.96958,                 0.9572,                0.97833,                0.83432,                0.96424,                0.94439,                0.97058,                0.51464,                0.55193,                0.71182,                0.44762,                0.84314,                0.00901,                0.00901,                0.00901
                     13,                0.65057,                0.76697,                0.49046,                0.88267,                0.96466,                0.95596,                0.98044,                0.83921,                0.94028,                 0.9189,                0.96025,                0.55678,                0.56486,                0.59696,                0.42081,                0.85116,               0.008911,               0.008911,               0.008911
                     14,                0.66035,                0.75473,                0.49679,                0.88269,                0.96898,                0.95331,                 0.9808,                0.83892,                0.95852,                0.93385,                0.97202,                0.51557,                0.54221,                0.63031,                0.39882,                0.84471,               0.008812,               0.008812,               0.008812
                     15,                0.66739,                0.74516,                0.48948,                0.88534,                0.96271,                0.97276,                 0.9821,                0.84205,                0.95236,                0.96109,                0.98046,                0.57912,                0.53387,                 0.5634,                 0.4037,                0.84662,               0.008713,               0.008713,               0.008713
                     16,                0.62822,                0.73726,                0.48343,                0.87681,                 0.9765,                0.97011,                0.98446,                0.83935,                0.97218,                0.95165,                0.97464,                0.57296,                0.51087,                0.59701,                0.38662,                0.83733,               0.008614,               0.008614,               0.008614
                     17,                0.64457,                0.74929,                0.47614,                0.88419,                0.96892,                0.97046,                0.98484,                0.85744,                0.95933,                0.93385,                0.97456,                 0.5422,                0.50646,                0.66843,                0.39775,                0.84387,               0.008515,               0.008515,               0.008515
                     18,                0.63203,                0.73914,                0.46953,                0.87879,                  0.972,                0.96498,                0.97957,                0.85626,                0.95796,                0.95331,                0.97139,                0.56544,                0.51298,                0.57356,                0.39141,                  0.844,               0.008416,               0.008416,               0.008416
                     19,                0.62204,                0.72969,                 0.4672,                0.87077,                0.96874,                0.96473,                0.98142,                0.84784,                0.96813,                0.94561,                 0.9759,                0.57123,                0.51689,                 0.5961,                0.38049,                0.83574,               0.008317,               0.008317,               0.008317
                     20,                0.62082,                0.71844,                0.46359,                0.87313,                0.97262,                0.96768,                0.98404,                0.85952,                0.95873,                 0.9572,                0.97794,                0.57529,                 0.5068,                0.57692,                0.36762,                0.83947,               0.008218,               0.008218,               0.008218
                     21,                0.62279,                0.71357,                 0.4499,                0.87673,                0.96642,                0.96887,                0.98616,                0.87394,                0.95717,                0.95647,                0.98047,                0.57914,                0.46418,                0.55525,                 0.3557,                0.82816,               0.008119,               0.008119,               0.008119
                     22,                 0.5994,                0.70557,                0.44912,                0.86657,                 0.9711,                0.96109,                0.98336,                0.85879,                0.96792,                0.93907,                 0.9758,                0.56135,                0.50532,                0.57572,                0.37698,                0.83562,                0.00802,                0.00802,                0.00802
                     23,                  0.618,                 0.7117,                0.45534,                0.87429,                0.95421,                0.97308,                0.98664,                 0.8545,                0.93514,                0.95374,                0.97417,                0.54347,                0.52731,                0.60804,                 0.3719,                0.83928,               0.007921,               0.007921,               0.007921
                     24,                0.60019,                0.70728,                0.44424,                0.87348,                0.97654,                0.96887,                  0.987,                0.85725,                0.95104,                0.94163,                0.97463,                0.53623,                0.48855,                0.61587,                0.37586,                0.82933,               0.007822,               0.007822,               0.007822
                     25,                 0.5913,                0.71515,                0.43723,                0.86896,                0.96813,                0.97665,                0.98828,                0.87681,                0.94872,                 0.9572,                 0.9839,                0.55551,                0.47304,                0.61357,                0.34371,                0.82642,               0.007723,               0.007723,               0.007723
