                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65959,                0.72737,                0.71691,                0.90307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.8566,                 8.3908,                    inf,                 28.648,               0.003268,               0.003268,               0.003268
                      2,                 1.0431,                0.96491,                 1.0564,                 1.0629,                0.65346,                0.68872,                0.68841,                0.53003,                0.64239,                0.67704,                0.68344,                0.36126,                0.87856,                0.81396,                 1.1511,                 1.0454,               0.006536,               0.006536,               0.006536
                      3,                 1.2943,                 1.1248,                 1.2465,                  1.177,                0.65346,                0.68872,                0.68841,                0.53003,                0.64239,                0.67704,                0.68344,                0.36126,                    nan,                    nan,                    nan,                    nan,              0.0097379,              0.0097379,              0.0097379
                      4,                 1.4184,                 1.3238,                 1.4117,                 1.2217,                 0.6541,                0.72843,                0.74502,                 0.4769,                0.63663,                0.70898,                0.72288,                0.32203,                 1.0558,                0.80386,                 1.5983,                 1.0526,               0.009703,               0.009703,               0.009703
                      5,                 1.1713,                 1.1058,                0.91543,                 1.1003,                0.86304,                0.91051,                0.94363,                0.66309,                0.85935,                0.90661,                0.93386,                0.50743,                 1.0057,                0.64479,                0.72282,                 0.9958,               0.009703,               0.009703,               0.009703
                      6,                 1.0953,                 0.9195,                0.76155,                  1.043,                0.93063,                0.93965,                0.96967,                0.73746,                0.92915,                0.91849,                0.96241,                0.51268,                0.86018,                0.65461,                0.60281,                0.95967,               0.009604,               0.009604,               0.009604
                      7,                0.95214,                0.89595,                 0.6773,                0.99899,                0.95275,                0.94156,                0.97357,                0.72797,                0.94527,                0.92218,                  0.957,                0.43195,                0.90131,                0.73675,                 0.5657,                0.95083,               0.009505,               0.009505,               0.009505
                      8,                 0.9214,                0.86086,                0.64717,                0.97234,                0.91063,                0.92607,                0.96174,                0.75915,                0.90211,                0.89646,                0.94484,                0.44709,                0.76265,                0.69336,                0.53318,                0.91334,               0.009406,               0.009406,               0.009406
                      9,                 0.8726,                0.83855,                0.59463,                 0.9548,                0.94614,                0.95695,                0.97689,                0.80403,                0.95067,                 0.9144,                0.97119,                0.49224,                0.61789,                0.69964,                0.49987,                0.86675,               0.009307,               0.009307,               0.009307
                     10,                0.85134,                0.79974,                0.59285,                 0.9561,                0.93064,                0.94553,                 0.9715,                0.78723,                0.93353,                0.92901,                0.95925,                0.53871,                0.74029,                0.63604,                0.48539,                0.91052,               0.009208,               0.009208,               0.009208
