                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7873,                 1.9497,                 2.3746,                 2.8157,                0.07692,                0.11284,                0.03166,                0.00745,                      0,                      0,                      0,                      0,                 3.5613,                 284.84,                    inf,                 13.472,               0.003268,               0.003268,               0.003268
                      2,                  2.829,                 1.3135,                 2.4548,                 2.8436,                0.00147,                 0.1323,                0.00166,                0.00023,                      0,                      0,                      0,                      0,                 2.7833,                 2.9825,                 11.148,                 3.6077,               0.006536,               0.006536,               0.006536
                      3,                 2.8776,                 1.9386,                 2.3813,                 2.8704,                0.00714,                0.35019,                  0.008,                0.00146,                0.01878,                0.85992,                0.15958,                0.03616,                 2.8005,                 1.5074,                 5.6414,                 4.2585,              0.0097379,              0.0097379,              0.0097379
                      4,                 2.6777,                    nan,                 2.2815,                 2.7754,                0.00116,                0.10117,                0.00074,                0.00017,                      0,                      0,                      0,                      0,                 2.8751,                    nan,                 25.925,                 3.3196,               0.009703,               0.009703,               0.009703
                      5,                 2.6522,                    nan,                 2.1517,                 2.7253,                 0.0443,                0.85992,                0.08549,                0.02703,                      0,                      0,                      0,                      0,                 2.4782,                    nan,                 2.1711,                 2.7803,               0.009703,               0.009703,               0.009703
                      6,                 2.6417,                    nan,                 2.1432,                 2.7277,                0.04498,                0.89105,                 0.1038,                0.03417,                      0,                      0,                      0,                      0,                 2.4857,                    nan,                 2.0559,                 2.7651,               0.009604,               0.009604,               0.009604
                      7,                 2.6549,                    nan,                 2.1451,                 2.7313,                0.04321,                0.89105,                0.10741,                0.03609,                      0,                      0,                      0,                      0,                 2.4902,                    nan,                 2.0469,                 2.7665,               0.009505,               0.009505,               0.009505
                      8,                 2.6467,                    nan,                 2.1477,                  2.729,                 0.0435,                0.87549,                0.10811,                0.03647,                      0,                      0,                      0,                      0,                 2.4918,                    nan,                 2.0457,                 2.7683,               0.009406,               0.009406,               0.009406
                      9,                 2.6694,                    nan,                 2.1476,                 2.7331,                0.04346,                0.88716,                0.10937,                0.03708,                      0,                      0,                      0,                      0,                 2.4952,                    nan,                 2.0462,                  2.768,               0.009307,               0.009307,               0.009307
                     10,                 2.6553,                    nan,                 2.1404,                 2.7338,                0.04387,                0.88716,                0.10624,                0.03623,                      0,                      0,                      0,                      0,                 2.4912,                    nan,                 2.0465,                 2.7679,               0.009208,               0.009208,               0.009208
                     11,                 2.6446,                    nan,                 2.1423,                 2.7195,                0.04381,                0.87938,                0.10757,                0.03655,                      0,                      0,                      0,                      0,                 2.4919,                    nan,                 2.0458,                 2.7681,               0.009109,               0.009109,               0.009109
                     12,                 2.6378,                    nan,                 2.1507,                  2.746,                0.04353,                0.88633,                0.11053,                0.03704,                      0,                      0,                      0,                      0,                 2.4957,                    nan,                 2.0452,                 2.7694,                0.00901,                0.00901,                0.00901
                     13,                 2.6291,                    nan,                  2.128,                 2.7216,                0.04302,                0.90272,                 0.1077,                0.03622,                      0,                      0,                      0,                      0,                 2.4915,                    nan,                 2.0464,                 2.7668,               0.008911,               0.008911,               0.008911
