                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1053,                 1.4424,                 1.6429,                0.99941,                0.88899,                0.87247,                0.89419,                0.70983,                0.89409,                0.84436,                0.88223,                0.45516,                0.78751,                0.91555,                0.92737,                0.95605,             0.00065359,             0.00065359,             0.00065359
                      2,                0.96613,                0.94081,                 0.7868,                0.96208,                0.53038,                0.45263,                0.46201,                0.30856,                0.49002,                0.41875,                0.38139,                0.10594,                  1.644,                 1.4573,                 1.6524,                 1.4306,              0.0013072,              0.0013072,              0.0013072
                      3,                0.97423,                0.94982,                0.75142,                0.97386,                0.00061,                0.00389,                0.00017,                  3e-05,                0.00085,                0.01167,                0.00021,                  7e-05,                 5.2311,                 6.1999,                 100.02,                 10.052,              0.0019476,              0.0019476,              0.0019476
                      4,                0.95477,                0.94598,                0.72153,                 0.9675,                0.81075,                0.46675,                0.53229,                0.40922,                0.78341,                0.45038,                0.50543,                0.22659,                  1.227,                 10.009,                 1.6049,                 1.3315,              0.0019406,              0.0019406,              0.0019406
                      5,                0.94824,                 0.9458,                0.70996,                0.96536,                0.01389,                0.45914,                   0.01,                0.00676,                0.01802,                0.64591,                0.01618,                0.00724,                 1.5137,                 4.1529,                  51.27,                 1.7163,              0.0019406,              0.0019406,              0.0019406
                      6,                0.88868,                0.87835,                0.64444,                0.94749,                0.86319,                0.69261,                0.77923,                0.61607,                0.80203,                0.63813,                0.69896,                0.32881,                0.91634,                 1.7582,                0.96181,                 1.0495,              0.0019208,              0.0019208,              0.0019208
                      7,                0.90557,                0.89061,                 0.6548,                0.96036,                0.96005,                0.95331,                0.97398,                0.80358,                0.94807,                0.94163,                0.96507,                0.55368,                0.64813,                0.62988,                0.50915,                0.88497,               0.001901,               0.001901,               0.001901
                      8,                0.85267,                0.86727,                0.62084,                0.93346,                 0.9474,                0.94163,                0.97335,                0.79954,                0.93737,                0.92607,                0.96756,                0.52085,                0.59119,                0.62972,                0.47399,                0.86434,              0.0018812,              0.0018812,              0.0018812
                      9,                0.77894,                0.86157,                0.57116,                0.91621,                0.97587,                0.92996,                 0.9817,                0.81203,                 0.9689,                0.92218,                 0.9734,                0.51757,                0.61629,                 0.6273,                0.47069,                0.86499,              0.0018614,              0.0018614,              0.0018614
                     10,                0.77641,                0.82516,                0.54834,                0.90961,                0.97191,                0.94237,                0.98436,                0.82089,                0.96756,                0.92858,                0.96901,                 0.5042,                0.61351,                0.67237,                0.45142,                0.87839,              0.0018416,              0.0018416,              0.0018416
                     11,                0.78881,                0.80736,                0.56968,                0.91574,                0.93774,                0.96109,                0.98316,                0.83507,                0.91557,                0.93774,                0.96075,                 0.4834,                0.57301,                0.68112,                0.43844,                0.85332,              0.0018218,              0.0018218,              0.0018218
                     12,                0.77541,                0.79239,                0.55834,                0.91578,                 0.9682,                0.94765,                0.98253,                0.83032,                0.96785,                0.93704,                0.97744,                0.54425,                0.59596,                0.63071,                0.44923,                0.85821,               0.001802,               0.001802,               0.001802
                     13,                0.76395,                0.80582,                0.54627,                0.90429,                0.93376,                0.95331,                 0.9796,                0.82922,                 0.9357,                0.92607,                 0.9704,                0.47597,                0.58169,                0.75318,                0.44104,                 0.8498,              0.0017822,              0.0017822,              0.0017822
                     14,                0.75991,                0.78314,                0.53768,                0.90477,                0.94692,                0.97181,                0.98534,                0.83082,                0.92798,                0.95262,                0.97372,                0.55954,                0.58276,                0.60393,                0.42109,                0.86079,              0.0017624,              0.0017624,              0.0017624
                     15,                0.73493,                0.76408,                0.54189,                0.90259,                0.96493,                0.96349,                0.98349,                 0.8364,                0.95714,                0.95591,                0.98024,                0.60118,                0.56285,                0.54554,                0.42388,                 0.8485,              0.0017426,              0.0017426,              0.0017426
                     16,                0.72309,                0.78466,                0.51984,                0.89733,                0.95337,                0.96887,                0.98489,                0.83683,                 0.9434,                0.91051,                0.96163,                0.54864,                0.54703,                0.57076,                0.41787,                 0.8483,              0.0017228,              0.0017228,              0.0017228
                     17,                0.72128,                0.79364,                0.53932,                0.89429,                0.95217,                0.94553,                0.97832,                0.84038,                0.95466,                0.92607,                0.97151,                0.56862,                0.55793,                  0.584,                 0.4151,                0.85355,               0.001703,               0.001703,               0.001703
                     18,                0.71076,                0.75855,                0.51597,                0.89331,                0.96512,                0.96886,                0.98868,                0.84988,                0.94659,                 0.9655,                0.98011,                0.58054,                0.53389,                0.54972,                0.39258,                 0.8506,              0.0016832,              0.0016832,              0.0016832
                     19,                0.69268,                0.75194,                0.48945,                0.88452,                 0.9558,                0.98054,                0.99035,                0.85101,                0.95814,                0.94163,                 0.9794,                0.53209,                0.55207,                0.61163,                0.39307,                0.86074,              0.0016634,              0.0016634,              0.0016634
                     20,                0.70444,                0.75222,                0.50261,                0.88673,                0.96068,                0.98054,                0.98686,                0.85852,                0.96068,                0.98054,                0.98675,                0.59635,                 0.5279,                0.63491,                0.39494,                0.84257,              0.0016436,              0.0016436,              0.0016436
                     21,                0.70101,                0.74061,                0.50906,                0.88384,                0.95795,                0.97499,                0.98442,                0.84514,                0.95642,                0.94553,                0.97405,                0.54342,                0.53575,                0.58738,                  0.394,                0.84795,              0.0016238,              0.0016238,              0.0016238
                     22,                0.69077,                 0.7498,                0.49022,                0.88623,                0.96891,                   0.97,                0.99167,                0.85215,                0.97603,                0.95057,                0.98253,                  0.551,                0.54252,                0.59296,                0.36325,                0.84589,               0.001604,               0.001604,               0.001604
                     23,                0.68357,                0.76035,                0.47301,                0.87857,                0.97164,                0.98054,                0.98944,                0.85822,                0.95621,                0.96498,                0.97989,                0.54619,                0.49913,                0.58307,                0.34897,                0.83368,              0.0015842,              0.0015842,              0.0015842
                     24,                0.67801,                0.72051,                0.46466,                0.88634,                0.98418,                0.96814,                0.99245,                0.85461,                0.96478,                0.95925,                 0.9877,                0.56695,                0.54562,                 0.5918,                0.39508,                0.85046,              0.0015644,              0.0015644,              0.0015644
                     25,                0.67157,                0.75774,                0.48012,                0.88132,                0.98813,                0.97159,                0.99299,                0.87515,                0.97233,                 0.9572,                0.98425,                0.60863,                0.48768,                0.54356,                 0.3541,                0.83782,              0.0015446,              0.0015446,              0.0015446
                     26,                0.66475,                0.72739,                0.45982,                 0.8817,                0.97296,                0.98015,                0.99221,                0.87047,                0.94316,                0.96847,                0.98595,                0.57184,                0.48126,                0.57161,                0.33828,                0.83457,              0.0015248,              0.0015248,              0.0015248
                     27,                0.64396,                0.72649,                0.45221,                0.87173,                 0.9763,                0.96182,                0.98995,                0.85908,                 0.9684,                0.95404,                0.98342,                0.56267,                0.50624,                0.57576,                0.35506,                0.83858,               0.001505,               0.001505,               0.001505
                     28,                0.64747,                0.74737,                0.46757,                0.87361,                0.98805,                 0.9572,                0.99214,                0.86343,                0.97874,                0.94553,                0.98674,                0.58073,                0.49805,                0.56628,                  0.349,                0.82932,              0.0014852,              0.0014852,              0.0014852
                     29,                0.64018,                0.73349,                0.45057,                0.87881,                0.96917,                 0.9785,                0.99248,                0.87124,                0.94798,                0.92996,                 0.9685,                0.53235,                0.49274,                0.58603,                0.34417,                0.83024,              0.0014654,              0.0014654,              0.0014654
                     30,                0.63644,                0.73351,                0.44792,                0.87302,                0.98032,                0.96924,                0.99065,                0.87734,                0.98406,                0.96084,                0.98162,                0.58921,                0.48267,                0.53134,                0.34622,                0.83133,              0.0014456,              0.0014456,              0.0014456
                     31,                0.63901,                0.72819,                  0.454,                0.87497,                0.97671,                0.96887,                0.99326,                0.87529,                0.95386,                 0.9652,                0.98417,                0.56222,                0.48424,                0.58459,                0.34839,                0.83334,              0.0014258,              0.0014258,              0.0014258
                     32,                0.64299,                0.69473,                0.46382,                0.88156,                0.98526,                0.97665,                0.99394,                0.87596,                0.96882,                0.96712,                0.98644,                0.56573,                0.47319,                0.57747,                   0.34,                0.82446,               0.001406,               0.001406,               0.001406
                     33,                0.62375,                0.73236,                0.45617,                0.87181,                0.98232,                0.96109,                0.99171,                0.87613,                0.97701,                0.94553,                0.98034,                0.54186,                0.46175,                 0.5947,                0.35588,                0.83072,              0.0013862,              0.0013862,              0.0013862
                     34,                0.62245,                0.71459,                0.44489,                0.87449,                0.97649,                0.96981,                0.99246,                0.87844,                 0.9497,                0.96109,                 0.9779,                0.54114,                0.46222,                0.58368,                0.33503,                0.83148,              0.0013664,              0.0013664,              0.0013664
                     35,                0.62207,                0.71308,                0.43513,                 0.8703,                 0.9609,                0.98833,                0.99244,                0.87673,                0.95544,                0.98444,                0.99264,                0.57581,                0.47285,                0.57779,                0.32717,                0.83285,              0.0013466,              0.0013466,              0.0013466
                     36,                0.62328,                 0.7707,                0.44608,                0.86855,                0.98898,                0.98444,                 0.9937,                0.88779,                0.97714,                0.97276,                0.98418,                0.60343,                0.45403,                0.54385,                0.32725,                 0.8244,              0.0013268,              0.0013268,              0.0013268
                     37,                0.60611,                0.69847,                0.42675,                0.86009,                  0.976,                0.98833,                0.99232,                0.89232,                0.96502,                0.97665,                0.98818,                0.56523,                0.45218,                0.56091,                0.32843,                0.82252,               0.001307,               0.001307,               0.001307
                     38,                0.61355,                0.68299,                0.42569,                 0.8662,                0.98053,                0.97971,                0.99244,                 0.8872,                0.98023,                0.96445,                 0.9839,                0.58273,                0.45151,                0.53672,                0.31706,                0.82179,              0.0012872,              0.0012872,              0.0012872
                     39,                0.61616,                0.71396,                 0.4285,                0.87011,                0.98319,                0.97276,                0.99138,                0.89156,                 0.9775,                0.96109,                0.99047,                0.60577,                0.45416,                0.52281,                0.32078,                0.82784,              0.0012674,              0.0012674,              0.0012674
                     40,                0.61699,                0.70504,                0.43085,                0.86842,                0.97826,                0.97276,                0.99152,                0.87915,                0.97033,                0.96498,                0.98248,                0.57744,                0.46951,                0.54185,                0.33314,                0.82934,              0.0012476,              0.0012476,              0.0012476
                     41,                0.61424,                0.71344,                0.42453,                0.86057,                0.96594,                0.99326,                0.99222,                0.89462,                0.96743,                0.96498,                0.98262,                0.58978,                0.44446,                0.53757,                0.31032,                0.82401,              0.0012278,              0.0012278,              0.0012278
                     42,                0.59998,                0.68924,                0.41049,                 0.8575,                 0.9749,                0.99222,                0.99183,                0.89017,                0.96186,                0.98123,                0.98249,                0.61172,                 0.4602,                0.52643,                0.30614,                 0.8259,               0.001208,               0.001208,               0.001208
                     43,                0.61964,                0.69492,                0.43922,                0.86661,                0.97914,                0.99222,                0.99393,                0.89118,                0.99072,                0.96887,                0.99359,                0.59204,                0.46396,                0.54751,                0.31273,                0.82615,              0.0011882,              0.0011882,              0.0011882
                     44,                0.59931,                0.69903,                0.41353,                0.85588,                0.96956,                0.99133,                0.99173,                0.88506,                0.95814,                0.97965,                0.98295,                0.59855,                0.47643,                0.53201,                0.32805,                0.83343,              0.0011684,              0.0011684,              0.0011684
                     45,                0.59893,                0.72276,                0.41894,                 0.8652,                0.98813,                0.97163,                0.99183,                0.88114,                0.97626,                0.96003,                0.98241,                0.54458,                0.47985,                0.57797,                0.32634,                0.82959,              0.0011486,              0.0011486,              0.0011486
                     46,                 0.5973,                0.70881,                0.40709,                0.86373,                0.98377,                0.97276,                0.99299,                0.89185,                0.96585,                0.99056,                0.99288,                0.62302,                0.44744,                0.50521,                0.30351,                0.82661,              0.0011288,              0.0011288,              0.0011288
                     47,                0.58434,                0.68884,                0.40749,                 0.8602,                0.97237,                0.97665,                0.99091,                0.88786,                0.97526,                0.96498,                0.98596,                0.55448,                 0.4433,                0.61049,                0.31571,                0.82366,               0.001109,               0.001109,               0.001109
                     48,                0.58738,                0.66723,                0.40712,                0.85881,                0.97675,                0.98092,                0.99259,                0.88348,                0.98106,                0.96109,                0.98287,                0.56927,                0.43535,                0.54001,                0.29875,                0.82399,              0.0010892,              0.0010892,              0.0010892
                     49,                 0.5733,                0.70583,                0.39958,                 0.8581,                0.97111,                0.97665,                 0.9926,                0.89891,                0.98035,                0.94942,                0.98501,                0.62669,                0.43985,                0.50727,                0.29406,                0.82407,              0.0010694,              0.0010694,              0.0010694
                     50,                0.58484,                  0.702,                0.40808,                0.86037,                0.98009,                0.96887,                0.99238,                0.89635,                0.98418,                0.96838,                0.99221,                0.60524,                0.43963,                0.52863,                0.30148,                 0.8233,              0.0010496,              0.0010496,              0.0010496
                     51,                0.56863,                0.68793,                0.39266,                0.84928,                0.96495,                0.99222,                0.99221,                0.90179,                0.94595,                0.97276,                0.97634,                0.58685,                0.43799,                0.53676,                0.30027,                0.82636,              0.0010298,              0.0010298,              0.0010298
                     52,                0.58306,                0.69481,                0.39307,                  0.851,                0.98143,                0.96887,                0.99177,                0.89121,                0.97009,                0.94942,                0.98307,                0.59917,                 0.4306,                0.55551,                0.30601,                0.82095,                0.00101,                0.00101,                0.00101
                     53,                0.56457,                0.66947,                0.38273,                0.85128,                0.97256,                0.96525,                0.99163,                 0.8835,                0.96556,                0.94942,                0.98204,                0.58027,                0.44503,                0.53825,                0.29527,                0.82477,              0.0009902,              0.0009902,              0.0009902
                     54,                0.56986,                0.70862,                0.39982,                0.85071,                0.97331,                0.99315,                0.99357,                0.88982,                0.97653,                 0.9714,                0.98526,                 0.6191,                0.45551,                0.50433,                0.29503,                0.82506,              0.0009704,              0.0009704,              0.0009704
                     55,                0.56446,                0.66343,                 0.3874,                0.85044,                0.97339,                      1,                0.99269,                 0.9019,                0.96195,                0.98833,                0.98894,                0.58686,                0.43537,                0.54583,                0.29501,                0.81922,              0.0009506,              0.0009506,              0.0009506
                     56,                0.56916,                0.66701,                0.38787,                0.85142,                0.96592,                      1,                0.99255,                0.88647,                0.98402,                 0.9587,                0.98387,                0.59273,                 0.4436,                0.53459,                0.30248,                0.81712,              0.0009308,              0.0009308,              0.0009308
                     57,                0.56052,                0.66825,                0.38433,                0.85025,                  0.979,                0.97276,                0.99311,                0.88917,                0.97228,                0.96498,                0.98471,                0.58251,                0.44296,                0.55161,                0.29293,                0.81953,               0.000911,               0.000911,               0.000911
                     58,                0.56921,                0.67459,                0.39971,                0.85705,                0.97384,                0.97665,                 0.9928,                0.89978,                0.96121,                0.96427,                 0.9829,                0.59256,                0.42771,                0.52645,                 0.2894,                0.81849,              0.0008912,              0.0008912,              0.0008912
                     59,                 0.5636,                0.68199,                0.39571,                0.85233,                0.98832,                0.96887,                0.99321,                0.88518,                0.97234,                0.95331,                0.98107,                0.57596,                0.43027,                0.55674,                0.30323,                0.82086,              0.0008714,              0.0008714,              0.0008714
                     60,                0.55046,                 0.6612,                0.38722,                0.85214,                0.98248,                0.96498,                0.99332,                0.90112,                0.98661,                0.94942,                0.98403,                 0.6066,                0.41925,                0.51422,                0.29538,                0.81752,              0.0008516,              0.0008516,              0.0008516
                     61,                0.55675,                0.65778,                0.38587,                 0.8459,                0.97642,                0.98054,                0.99346,                0.90506,                0.97782,                0.95331,                0.98389,                 0.5888,                0.43215,                0.56026,                  0.288,                0.82172,              0.0008318,              0.0008318,              0.0008318
                     62,                0.53851,                0.66754,                0.37772,                0.84699,                0.99065,                0.97276,                0.99357,                0.90102,                0.98011,                0.95864,                0.98476,                0.60344,                0.42482,                0.55345,                0.28601,                0.81852,               0.000812,               0.000812,               0.000812
                     63,                0.55411,                0.69725,                0.38376,                0.85517,                0.98062,                0.98418,                0.99406,                0.90464,                0.96174,                0.97801,                0.98491,                0.63861,                0.40393,                0.50054,                0.27045,                0.81355,              0.0007922,              0.0007922,              0.0007922
                     64,                0.54252,                0.66993,                0.37728,                0.84318,                0.98071,                0.98904,                0.99405,                0.90138,                0.96913,                0.97737,                0.98536,                0.60496,                0.41365,                0.52437,                0.28007,                0.81977,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.5362,                0.66745,                 0.3702,                0.84318,                0.98284,                0.98833,                 0.9941,                0.91155,                0.97123,                0.97665,                0.98927,                0.64396,                0.40499,                0.51054,                0.26846,                0.81268,              0.0007526,              0.0007526,              0.0007526
                     66,                0.53986,                0.67574,                0.36669,                0.84494,                0.97302,                0.98238,                0.99311,                0.90209,                0.97622,                0.95827,                0.98339,                0.56831,                0.40463,                0.53031,                0.28267,                0.81628,              0.0007328,              0.0007328,              0.0007328
                     67,                0.53599,                 0.6644,                0.37213,                 0.8493,                0.97252,                0.98444,                 0.9935,                0.90387,                0.96208,                0.97665,                0.99198,                0.58229,                 0.4176,                0.53606,                0.27961,                0.81955,               0.000713,               0.000713,               0.000713
                     68,                0.54593,                0.68877,                0.36097,                0.84417,                0.98055,                0.99222,                0.99401,                0.91142,                0.97667,                0.98833,                0.99338,                0.63593,                0.41197,                0.50023,                0.27659,                0.81748,              0.0006932,              0.0006932,              0.0006932
                     69,                0.54313,                0.65192,                0.37547,                0.84776,                0.96837,                0.99222,                0.99402,                0.90719,                0.95414,                0.97665,                0.98169,                0.61264,                0.41728,                0.50993,                0.26823,                0.81411,              0.0006734,              0.0006734,              0.0006734
                     70,                0.54002,                 0.6683,                 0.3705,                 0.8444,                0.96832,                0.99222,                0.99391,                0.89409,                0.96832,                0.99222,                0.99376,                0.62076,                0.42832,                0.48937,                0.27568,                0.81994,              0.0006536,              0.0006536,              0.0006536
                     71,                0.53651,                0.65273,                 0.3652,                0.84707,                0.98455,                0.99203,                0.99441,                0.89967,                0.97175,                0.98444,                0.99287,                 0.5984,                0.41265,                0.54608,                0.27072,                0.81687,              0.0006338,              0.0006338,              0.0006338
                     72,                0.54226,                0.66779,                0.37307,                0.84912,                0.98682,                0.98833,                0.99457,                0.89732,                0.97159,                0.97276,                0.98532,                0.59277,                0.40497,                0.54487,                0.27303,                0.81555,               0.000614,               0.000614,               0.000614
                     73,                0.52014,                0.65449,                0.34293,                0.84097,                0.99143,                0.98054,                0.99414,                0.90576,                0.96843,                0.95496,                0.97871,                0.61892,                0.40692,                0.52097,                0.26579,                0.81382,              0.0005942,              0.0005942,              0.0005942
                     74,                 0.5235,                0.63885,                0.35618,                0.84416,                0.98795,                0.98833,                0.99426,                0.90493,                0.96458,                0.96498,                0.98289,                 0.5589,                0.41308,                0.57893,                0.27167,                0.81742,              0.0005744,              0.0005744,              0.0005744
                     75,                0.53472,                0.63576,                0.36664,                0.84746,                0.99293,                0.99222,                0.99492,                0.91875,                0.98477,                0.98444,                  0.989,                0.62742,                0.39359,                0.49676,                0.25707,                0.81232,              0.0005546,              0.0005546,              0.0005546
                     76,                0.51595,                0.66924,                0.35361,                0.83826,                0.99395,                0.98444,                0.99477,                0.90174,                0.98066,                0.96887,                0.98579,                 0.6056,                0.40965,                0.52884,                0.26593,                0.81338,              0.0005348,              0.0005348,              0.0005348
                     77,                0.52409,                0.65128,                0.34982,                0.84066,                0.97686,                0.98553,                0.99414,                0.91864,                0.95832,                0.98404,                0.98596,                0.61191,                0.38918,                0.51598,                0.25851,                0.81243,               0.000515,               0.000515,               0.000515
                     78,                0.50377,                0.63454,                0.33514,                0.83298,                0.97222,                0.99222,                0.99354,                 0.9187,                0.96079,                0.98054,                0.98499,                0.60342,                0.40547,                0.53591,                  0.263,                0.81365,              0.0004952,              0.0004952,              0.0004952
                     79,                0.51902,                 0.6565,                0.35095,                0.84276,                0.98076,                0.99194,                0.99366,                0.91231,                0.97307,                0.98425,                0.98535,                0.63563,                0.40027,                0.48981,                0.25728,                0.81418,              0.0004754,              0.0004754,              0.0004754
                     80,                0.50352,                0.63062,                0.34365,                 0.8367,                0.98827,                0.98356,                0.99438,                0.91445,                0.97654,                0.97194,                0.98503,                0.61563,                 0.4008,                0.49202,                0.25711,                0.81439,              0.0004556,              0.0004556,              0.0004556
                     81,                0.50129,                0.65088,                0.34197,                0.83322,                0.98821,                0.97859,                0.99453,                 0.9194,                0.96522,                0.98444,                0.98527,                0.61534,                0.39293,                0.50442,                0.25048,                0.81734,              0.0004358,              0.0004358,              0.0004358
                     82,                0.49904,                0.64932,                0.34412,                0.83415,                0.98836,                0.99101,                0.99413,                 0.9079,                0.96918,                0.97887,                0.98445,                0.60264,                0.39996,                0.51431,                0.25635,                0.81466,               0.000416,               0.000416,               0.000416
                     83,                0.50796,                 0.6518,                0.34253,                0.83805,                0.97283,                0.99611,                0.99306,                0.91382,                0.96143,                0.98444,                 0.9842,                0.61009,                0.39863,                0.52318,                 0.2578,                0.81573,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.5024,                0.62864,                0.33031,                0.83767,                0.98831,                0.99222,                0.99385,                0.92477,                0.96866,                0.97276,                0.97666,                0.59041,                0.38259,                0.53575,                0.24555,                0.81359,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.5022,                0.64429,                0.34082,                0.83989,                0.98338,                0.99222,                0.99437,                0.91896,                0.97186,                0.96498,                 0.9835,                0.59238,                0.38827,                 0.5339,                0.24534,                 0.8129,              0.0003566,              0.0003566,              0.0003566
                     86,                0.49365,                0.63921,                0.32996,                0.83588,                0.98345,                0.99222,                0.99437,                0.90847,                0.96799,                0.97665,                0.98417,                0.59182,                0.39892,                 0.5251,                0.24679,                0.81518,              0.0003368,              0.0003368,              0.0003368
                     87,                0.49676,                0.65545,                0.32438,                0.83005,                0.97651,                0.99611,                0.99422,                 0.9195,                0.96125,                0.98054,                0.98446,                0.62102,                0.38576,                0.50659,                0.24282,                0.81094,               0.000317,               0.000317,               0.000317
                     88,                 0.4862,                0.63003,                0.32708,                 0.8348,                0.97878,                0.99222,                0.99434,                0.90978,                0.95801,                0.97657,                0.98404,                0.61634,                0.39442,                0.49082,                0.25269,                0.81269,              0.0002972,              0.0002972,              0.0002972
                     89,                0.49491,                0.63603,                0.33499,                0.83588,                0.98709,                0.99222,                 0.9948,                 0.9154,                0.97687,                 0.9861,                0.98683,                0.63454,                0.38143,                0.48094,                0.23983,                0.80929,              0.0002774,              0.0002774,              0.0002774
                     90,                0.48627,                0.62949,                0.31181,                0.83464,                0.98836,                0.99132,                0.99473,                0.91993,                0.97672,                0.97965,                0.98605,                 0.6274,                0.38318,                 0.4928,                0.23808,                  0.811,              0.0002576,              0.0002576,              0.0002576
                     91,                0.45491,                0.60899,                0.30952,                0.82695,                0.98772,                0.99222,                0.99437,                 0.9159,                 0.9761,                0.98054,                0.98532,                0.60173,                 0.3798,                0.51777,                0.24162,                0.81061,              0.0002378,              0.0002378,              0.0002378
                     92,                0.45523,                0.62463,                0.30115,                0.82045,                0.99219,                0.98813,                0.99445,                0.92167,                0.97656,                0.97267,                0.98525,                0.61883,                0.38949,                0.51204,                 0.2416,                0.80999,               0.000218,               0.000218,               0.000218
                     93,                0.44019,                 0.6065,                0.30113,                0.82044,                0.98832,                0.98745,                0.99453,                0.91668,                 0.9655,                0.98054,                0.98518,                0.61327,                0.39052,                0.51778,                0.24152,                0.81172,              0.0001982,              0.0001982,              0.0001982
                     94,                 0.4469,                0.60768,                0.29514,                0.82118,                0.98842,                0.98833,                0.99449,                0.91562,                0.97285,                0.97276,                0.98528,                0.59504,                0.39077,                0.53932,                0.23934,                0.81165,              0.0001784,              0.0001784,              0.0001784
                     95,                0.43716,                0.61045,                0.29578,                 0.8219,                0.98457,                0.99611,                0.99445,                0.92237,                0.96916,                0.98054,                0.98543,                0.63578,                0.39026,                0.47831,                 0.2372,                0.80912,              0.0001586,              0.0001586,              0.0001586
                     96,                0.43815,                0.60486,                0.29337,                0.81792,                0.99037,                0.98833,                0.99445,                0.91945,                0.96922,                0.98012,                0.98507,                0.59698,                0.37704,                0.51549,                0.23346,                0.81069,              0.0001388,              0.0001388,              0.0001388
                     97,                0.43222,                0.59165,                0.29002,                0.81526,                0.98918,                0.98833,                0.99441,                0.92416,                0.96917,                0.98054,                0.98512,                0.61702,                 0.3778,                 0.5002,                0.23073,                0.80942,               0.000119,               0.000119,               0.000119
                     98,                0.43392,                0.61431,                0.28564,                 0.8236,                0.98834,                0.98912,                0.99449,                0.92338,                0.97667,                0.97745,                0.98628,                0.60249,                0.38036,                0.52739,                0.23071,                0.80951,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.42562,                0.59767,                0.28728,                0.81626,                0.98835,                0.99043,                0.99453,                 0.9222,                0.96894,                0.97106,                0.98495,                 0.6225,                0.37531,                0.48927,                0.22518,                 0.8102,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.4258,                0.59824,                 0.2864,                0.82147,                0.98835,                0.99017,                0.99457,                0.92301,                 0.9692,                 0.9795,                0.98552,                 0.6007,                0.37263,                0.52167,                0.22723,                0.80945,               5.96e-05,               5.96e-05,               5.96e-05
